ID,Header Size,Payload Size,Packet Size,Average Packet Size,Average Payload Size,Average Header Size,Throughput,
1,20,0,54,2810.0,2745.0,31.0,59.39810693548276,
2,20,0,54,2810.0,2745.0,31.0,59.39810693548276,
28,32,205,271,2810.0,2745.0,31.0,59.39810693548276,
40,32,0,66,2810.0,2745.0,31.0,59.39810693548276,
45,32,74,140,2810.0,2745.0,31.0,59.39810693548276,
46,32,1374,1440,2810.0,2745.0,31.0,59.39810693548276,
47,32,0,66,2810.0,2745.0,31.0,59.39810693548276,
48,32,891,957,2810.0,2745.0,31.0,59.39810693548276,
49,32,0,66,2810.0,2745.0,31.0,59.39810693548276,
50,32,46,112,2810.0,2745.0,31.0,59.39810693548276,
51,32,0,66,2810.0,2745.0,31.0,59.39810693548276,
52,32,60,126,2810.0,2745.0,31.0,59.39810693548276,
53,32,0,66,2810.0,2745.0,31.0,59.39810693548276,
54,32,46,112,2810.0,2745.0,31.0,59.39810693548276,
55,32,31,97,2810.0,2745.0,31.0,59.39810693548276,
56,20,0,54,2810.0,2745.0,31.0,59.39810693548276,
57,20,0,54,2810.0,2745.0,31.0,59.39810693548276,
58,32,1374,1440,2810.0,2745.0,31.0,59.39810693548276,
59,32,0,66,2810.0,2745.0,31.0,59.39810693548276,
60,32,1374,1440,2810.0,2745.0,31.0,59.39810693548276,
61,32,0,66,2810.0,2745.0,31.0,59.39810693548276,
62,32,1374,1440,2810.0,2745.0,31.0,59.39810693548276,
63,32,0,66,2810.0,2745.0,31.0,59.39810693548276,
64,32,1374,1440,2810.0,2745.0,31.0,59.39810693548276,
65,32,0,66,2810.0,2745.0,31.0,59.39810693548276,
66,32,1374,1440,2810.0,2745.0,31.0,59.39810693548276,
67,32,0,66,2810.0,2745.0,31.0,59.39810693548276,
68,32,1374,1440,2810.0,2745.0,31.0,59.39810693548276,
69,32,0,66,2810.0,2745.0,31.0,59.39810693548276,
70,32,1374,1440,2810.0,2745.0,31.0,59.39810693548276,
71,32,0,66,2810.0,2745.0,31.0,59.39810693548276,
72,32,1374,1440,2810.0,2745.0,31.0,59.39810693548276,
73,32,0,66,2810.0,2745.0,31.0,59.39810693548276,
74,32,1374,1440,2810.0,2745.0,31.0,59.39810693548276,
75,32,0,66,2810.0,2745.0,31.0,59.39810693548276,
76,32,1374,1440,2810.0,2745.0,31.0,59.39810693548276,
77,32,0,66,2810.0,2745.0,31.0,59.39810693548276,
78,32,1374,1440,2810.0,2745.0,31.0,59.39810693548276,
79,32,0,66,2810.0,2745.0,31.0,59.39810693548276,
80,32,1374,1440,2810.0,2745.0,31.0,59.39810693548276,
81,32,0,66,2810.0,2745.0,31.0,59.39810693548276,
82,32,340,406,2810.0,2745.0,31.0,59.39810693548276,
83,32,0,66,2810.0,2745.0,31.0,59.39810693548276,
84,32,1374,1440,2810.0,2745.0,31.0,59.39810693548276,
85,32,0,66,2810.0,2745.0,31.0,59.39810693548276,
86,32,297,363,2810.0,2745.0,31.0,59.39810693548276,
87,32,336,402,2810.0,2745.0,31.0,59.39810693548276,
88,32,0,66,2810.0,2745.0,31.0,59.39810693548276,
89,32,1374,1440,2810.0,2745.0,31.0,59.39810693548276,
90,32,1374,1440,2810.0,2745.0,31.0,59.39810693548276,
91,32,1374,1440,2810.0,2745.0,31.0,59.39810693548276,
92,32,1374,1440,2810.0,2745.0,31.0,59.39810693548276,
93,32,1374,1440,2810.0,2745.0,31.0,59.39810693548276,
94,32,0,66,2810.0,2745.0,31.0,59.39810693548276,
95,32,1374,1440,2810.0,2745.0,31.0,59.39810693548276,
96,32,2748,2814,2810.0,2745.0,31.0,59.39810693548276,
97,32,0,66,2810.0,2745.0,31.0,59.39810693548276,
98,32,1374,1440,2810.0,2745.0,31.0,59.39810693548276,
99,32,2748,2814,2810.0,2745.0,31.0,59.39810693548276,
100,32,1781,1847,2810.0,2745.0,31.0,59.39810693548276,
