ID,Header Size,Payload Size,Packet Size,Average Packet Size,Average Payload Size,Average Header Size,Throughput,
1,8,87,129,887.0,844.0,9.0,138.68923873101744,
2,8,179,221,887.0,844.0,9.0,138.68923873101744,
3,8,29,71,887.0,844.0,9.0,138.68923873101744,
4,8,40,82,887.0,844.0,9.0,138.68923873101744,
5,8,112,154,887.0,844.0,9.0,138.68923873101744,
6,8,58,100,887.0,844.0,9.0,138.68923873101744,
7,8,37,79,887.0,844.0,9.0,138.68923873101744,
10,8,47,89,887.0,844.0,9.0,138.68923873101744,
27,8,1350,1392,887.0,844.0,9.0,138.68923873101744,
28,8,1350,1392,887.0,844.0,9.0,138.68923873101744,
29,8,1350,1392,887.0,844.0,9.0,138.68923873101744,
30,8,1350,1392,887.0,844.0,9.0,138.68923873101744,
31,8,1350,1392,887.0,844.0,9.0,138.68923873101744,
32,8,47,89,887.0,844.0,9.0,138.68923873101744,
36,8,1350,1392,887.0,844.0,9.0,138.68923873101744,
37,8,1350,1392,887.0,844.0,9.0,138.68923873101744,
38,8,1350,1392,887.0,844.0,9.0,138.68923873101744,
64,8,517,559,887.0,844.0,9.0,138.68923873101744,
67,8,1350,1392,887.0,844.0,9.0,138.68923873101744,
68,8,1350,1392,887.0,844.0,9.0,138.68923873101744,
69,8,40,82,887.0,844.0,9.0,138.68923873101744,
70,8,103,145,887.0,844.0,9.0,138.68923873101744,
71,8,103,145,887.0,844.0,9.0,138.68923873101744,
74,8,40,82,887.0,844.0,9.0,138.68923873101744,
80,8,1350,1392,887.0,844.0,9.0,138.68923873101744,
81,8,1350,1392,887.0,844.0,9.0,138.68923873101744,
109,8,1350,1392,887.0,844.0,9.0,138.68923873101744,
110,8,1350,1392,887.0,844.0,9.0,138.68923873101744,
111,8,1350,1392,887.0,844.0,9.0,138.68923873101744,
112,8,40,82,887.0,844.0,9.0,138.68923873101744,
113,8,40,82,887.0,844.0,9.0,138.68923873101744,
116,8,1350,1392,887.0,844.0,9.0,138.68923873101744,
117,8,1350,1392,887.0,844.0,9.0,138.68923873101744,
118,8,40,82,887.0,844.0,9.0,138.68923873101744,
123,8,1350,1392,887.0,844.0,9.0,138.68923873101744,
124,8,1350,1392,887.0,844.0,9.0,138.68923873101744,
168,8,1350,1392,887.0,844.0,9.0,138.68923873101744,
170,8,1350,1392,887.0,844.0,9.0,138.68923873101744,
171,8,40,82,887.0,844.0,9.0,138.68923873101744,
179,8,33,75,887.0,844.0,9.0,138.68923873101744,
254,8,1350,1392,887.0,844.0,9.0,138.68923873101744,
255,8,29,71,887.0,844.0,9.0,138.68923873101744,
256,8,29,71,887.0,844.0,9.0,138.68923873101744,
257,8,1350,1392,887.0,844.0,9.0,138.68923873101744,
259,8,1350,1392,887.0,844.0,9.0,138.68923873101744,
260,8,823,865,887.0,844.0,9.0,138.68923873101744,
261,8,1350,1392,887.0,844.0,9.0,138.68923873101744,
263,8,1350,1392,887.0,844.0,9.0,138.68923873101744,
264,8,43,85,887.0,844.0,9.0,138.68923873101744,
265,8,40,82,887.0,844.0,9.0,138.68923873101744,
266,8,43,85,887.0,844.0,9.0,138.68923873101744,
267,8,1350,1392,887.0,844.0,9.0,138.68923873101744,
268,8,41,83,887.0,844.0,9.0,138.68923873101744,
269,8,1350,1392,887.0,844.0,9.0,138.68923873101744,
